congress,level,area,n_articles
AAAI,A*,IA / ML,21756
AAMAS,A,IA / ML,6713
ACL,A*,IA / ML,9617
ACMMM,A*,IA / ML,10640
ACSAC,A,Seguridad,1339
AIED,A,IA / ML,1122
AISTATS,A,IA / ML,4370
ALENEX,A,Teoría,376
APPROX/RANDOM,A,Teoría,1254
ASE,A*,Ing. del Software,3133
ASIACRYPT,A,Seguridad,437
ASPLOS,A*,Sistemas,891
ASSETS,A,HCI,1996
AsiaCCS,A,Seguridad,541
BMVC,A,IA / ML,4127
BPM,A,Ing. del Software,527
CADE,A,Teoría,477
CAV,A*,Ing. del Software,770
CCC,A,Teoría,841
CCS,A*,Seguridad,3754
CGO,A,Ing. del Software,680
CHES,A,Seguridad,552
CHI,A*,HCI,11478
CIDR,A,Bases de datos,661
CIKM,A,Bases de datos,8847
COLT,A*,Teoría,1922
CP,A,Teoría,1614
CRYPTO,A*,Seguridad,448
CSCW,A,HCI,1371
CSF,A,Seguridad,571
CVPR,A*,IA / ML,21243
CaiSE,A,Ing. del Software,976
CoNEXT,A,Redes,802
DAC,A*,Sistemas,5550
DATE,A,Sistemas,7874
DIS,A,HCI,2053
DISC,A,Sistemas,1162
DSN,A,Sistemas,1647
EACL,A,IA / ML,1186
EASE,A,Ing. del Software,911
EC,A*,Teoría,1923
ECAI,A,IA / ML,3972
ECCV,A*,IA / ML,8528
ECIR,A,Bases de datos,1300
ECML PKDD,A,IA / ML,406
ECOOP,A,Ing. del Software,756
EMNLP,A*,IA / ML,9202
ER,A,Bases de datos,1039
ESA,A,Teoría,1876
ESEM,A,Ing. del Software,1036
ESOP,A,Ing. del Software,651
ESORICS,A,Seguridad,412
EuroCrypt,A*,Seguridad,498
EuroS&P,A,Seguridad,441
EuroSys,A,Sistemas,775
FAST,A,Sistemas,565
FC,A,Seguridad,755
FOCS,A*,Teoría,2242
FOGA,A,IA / ML,205
FPGA,A,Sistemas,1420
FSE,A*,Ing. del Software,546
GD,A,Teoría,1137
GECCO,A,IA / ML,5144
HPCA,A*,Sistemas,1317
HPDC,A,Sistemas,971
HRI,A*,HCI,2346
HotOS,A,Sistemas,394
ICALP,A*,Teoría,2067
ICAPS,A*,IA / ML,1258
ICCAD,A,Sistemas,3711
ICCV,A*,IA / ML,8144
ICDAR,A,IA / ML,2571
ICDCS,A,Sistemas,2847
ICDE,A*,Bases de datos,5424
ICDM,A*,Bases de datos,3834
ICDT,A,Bases de datos,538
ICER,A,HCI,583
ICFP,A,Ing. del Software,528
ICLR,A*,IA / ML,10241
ICME,A,IA / ML,9384
ICML,A*,IA / ML,15644
ICPC,A,Ing. del Software,895
ICRA,A*,IA / ML,23565
ICS,A,Sistemas,1090
ICSA,A,Ing. del Software,193
ICSE,A*,Ing. del Software,3481
ICSME,A,Ing. del Software,2108
ICSOC,A,Ing. del Software,1038
ICST,A,Ing. del Software,1096
ICWS,A,Redes,2542
ICWSM,A,IA / ML,1952
IEEE VIS,A,HCI,477
IJCAI,A*,IA / ML,12126
IJCAR,A,Teoría,446
IMC,A,Redes,322
INFOCOM,A*,Redes,7502
IPDPS,A,Sistemas,5528
IROS,A,IA / ML,23281
ISCA,A*,Sistemas,1404
ISLPED,A,Sistemas,1705
ISMAR,A*,HCI,1678
ISMB,A,Bioinformática,93
ISSRE,A,Ing. del Software,1033
ISSTA,A,Ing. del Software,1068
ISWC,A,Bases de datos,601
ITC,A,Sistemas,2450
ITCS,A,Teoría,1010
IUI,A,HCI,1707
Interspeech,A,IA / ML,21223
KDD,A*,Bases de datos,5964
KR,A*,IA / ML,1147
LAK,A,IA / ML,1100
LICS,A*,Teoría,1459
MICCAI,A,IA / ML,14260
MICRO,A*,Sistemas,1498
MMSys,A,Redes,709
MOBICOM,A*,Redes,1930
MODELS,A,Ing. del Software,815
MSR,A,Ing. del Software,1303
MSWIM,A,Redes,1124
Middleware,A,Sistemas,595
Mobisys,A,Redes,1378
NAACL,A,IA / ML,1643
NDSS,A*,Seguridad,1426
NeurIPS,A*,IA / ML,22876
OOPSLA,A,Ing. del Software,665
OSDI,A*,Sistemas,611
PERCOM,A*,HCI,890
PETS,A,Seguridad,1011
PLDI,A*,Ing. del Software,1066
PODC,A*,Sistemas,1596
PODS,A*,Bases de datos,735
POPL,A*,Ing. del Software,719
PPSN,A,IA / ML,616
RAID,A,Seguridad,690
RE,A,Ing. del Software,1548
RTAS,A,Sistemas,432
RTSS,A,Sistemas,1074
RecSys,A,IA / ML,2169
SANER,A,Ing. del Software,1493
SAT,A,Teoría,824
SC,A,Sistemas,2346
SDM,A,IA / ML,2055
SEAMS,A,Ing. del Software,124
SIGCOMM,A*,Redes,1388
SIGCSE,A,HCI,4680
SIGGRAPH,A*,HCI,8892
SIGIR,A*,Bases de datos,6294
SIGMETRICS,A*,Sistemas,700
SIGMOD,A*,Bases de datos,3268
SIGSPATIAL,A,Bases de datos,2066
SODA,A*,Teoría,3794
SOSP,A*,Sistemas,531
SOUPS,A,Seguridad,353
SP,A*,Seguridad,669
STACS,A,Teoría,1477
STOC,A*,Teoría,2666
SiggraphA,A*,HCI,2060
SoCG,A*,Teoría,951
TACAS,A,Ing. del Software,728
UAI,A,IA / ML,2849
UIST,A*,HCI,1790
UMAP,A,HCI,856
USENIX,A,Sistemas,1057
USENIX-Security,A*,Seguridad,2819
VLDB,A*,Bases de datos,5792
VR,A*,HCI,2716
WACV,A,IA / ML,5170
WSDM,A,Bases de datos,1962
WWW,A*,Bases de datos,5251
