area,window,total_articles,resolved_articles,eu27_uk_articles,spain_articles,unresolved_articles,coverage_rate,coverage_pct,spain_share_world_resolved,spain_share_eu27_uk,spain_share_eu27_uk_pct,area_report_label,rank_eu27_uk
Bases de datos,2001-2005,5288,4795,1377,72,493,0.90677,90.677,0.015016,0.052288,5.229,Bases de datos,6
Bases de datos,2006-2010,8749,8344,2589,235,405,0.953709,95.371,0.028164,0.090769,9.077,Bases de datos,5
Bases de datos,2011-2015,9828,9508,2905,317,320,0.96744,96.744,0.03334,0.109122,10.912,Bases de datos,5
Bases de datos,2016-2020,12253,11921,2977,152,332,0.972905,97.29,0.012751,0.051058,5.106,Bases de datos,7
Bases de datos,2021-2025,17458,17046,3636,158,412,0.976401,97.64,0.009269,0.043454,4.345,Bases de datos,8
HCI,2001-2005,4961,4062,1061,14,899,0.818787,81.879,0.003447,0.013195,1.32,HCI,12
HCI,2006-2010,7433,6544,1889,64,889,0.880398,88.04,0.00978,0.03388,3.388,HCI,10
HCI,2011-2015,9731,8871,2911,122,860,0.911623,91.162,0.013753,0.04191,4.191,HCI,8
HCI,2016-2020,11424,10861,3291,66,563,0.950718,95.072,0.006077,0.020055,2.005,HCI,12
HCI,2021-2025,12024,11936,3734,99,88,0.992681,99.268,0.008294,0.026513,2.651,HCI,11
IA / ML,2001-2005,24140,16741,5293,449,7399,0.693496,69.35,0.02682,0.084829,8.483,IA / ML,5
IA / ML,2006-2010,32728,24981,9144,816,7747,0.763291,76.329,0.032665,0.089239,8.924,IA / ML,4
IA / ML,2011-2015,38985,28594,10640,827,10391,0.733462,73.346,0.028922,0.077726,7.773,IA / ML,5
IA / ML,2016-2020,64697,49450,15139,780,15247,0.764332,76.433,0.015774,0.051523,5.152,IA / ML,6
IA / ML,2021-2025,130955,108989,28372,1100,21966,0.832263,83.226,0.010093,0.038771,3.877,IA / ML,7
Ing. del Software,2001-2005,3898,3522,1468,81,376,0.90354,90.354,0.022998,0.055177,5.518,Ingeniería del Software,6
Ing. del Software,2006-2010,5611,5419,2424,147,192,0.965782,96.578,0.027127,0.060644,6.064,Ingeniería del Software,6
Ing. del Software,2011-2015,6987,6875,3258,225,112,0.98397,98.397,0.032727,0.069061,6.906,Ingeniería del Software,7
Ing. del Software,2016-2020,6202,6017,2591,168,185,0.970171,97.017,0.027921,0.06484,6.484,Ingeniería del Software,7
Ing. del Software,2021-2025,7189,7135,2715,154,54,0.992489,99.249,0.021584,0.056722,5.672,Ingeniería del Software,8
Redes,2001-2005,2042,1860,429,9,182,0.910872,91.087,0.004839,0.020979,2.098,Redes,11
Redes,2006-2010,3533,3453,934,57,80,0.977356,97.736,0.016507,0.061028,6.103,Redes,5
Redes,2011-2015,4130,4102,1000,93,28,0.99322,99.322,0.022672,0.093,9.3,Redes,5
Redes,2016-2020,3689,3638,908,86,51,0.986175,98.618,0.023639,0.094714,9.471,Redes,5
Redes,2021-2025,4303,4249,1006,147,54,0.987451,98.745,0.034596,0.146123,14.612,Redes,4
Seguridad,2001-2005,1694,1393,455,2,301,0.822314,82.231,0.001436,0.004396,0.44,Seguridad,17
Seguridad,2006-2010,2241,1980,782,30,261,0.883534,88.353,0.015152,0.038363,3.836,Seguridad,9
Seguridad,2011-2015,2808,2333,965,52,475,0.83084,83.084,0.022289,0.053886,5.389,Seguridad,7
Seguridad,2016-2020,3498,2677,1092,54,821,0.765294,76.529,0.020172,0.049451,4.945,Seguridad,8
Seguridad,2021-2025,6475,4144,1556,70,2331,0.64,64.0,0.016892,0.044987,4.499,Seguridad,8
Sistemas,2001-2005,9648,8681,2331,234,967,0.899772,89.977,0.026955,0.100386,10.039,"Sistemas, arquitectura y computación",5
Sistemas,2006-2010,10542,9620,2754,264,922,0.91254,91.254,0.027443,0.095861,9.586,"Sistemas, arquitectura y computación",5
Sistemas,2011-2015,9312,8578,2484,208,734,0.921177,92.118,0.024248,0.083736,8.374,"Sistemas, arquitectura y computación",5
Sistemas,2016-2020,10366,9192,2576,172,1174,0.886745,88.675,0.018712,0.06677,6.677,"Sistemas, arquitectura y computación",6
Sistemas,2021-2025,11873,11010,2832,193,863,0.927314,92.731,0.01753,0.06815,6.815,"Sistemas, arquitectura y computación",6
Teoría,2001-2005,4524,3676,1817,106,848,0.812555,81.256,0.028836,0.058338,5.834,Teoría,6
Teoría,2006-2010,4201,3431,1518,67,770,0.81671,81.671,0.019528,0.044137,4.414,Teoría,6
Teoría,2011-2015,4809,4250,1973,65,559,0.88376,88.376,0.015294,0.032945,3.294,Teoría,11
Teoría,2016-2020,6588,5519,2689,58,1069,0.837735,83.774,0.010509,0.021569,2.157,Teoría,13
Teoría,2021-2025,8234,7030,3187,69,1204,0.853777,85.378,0.009815,0.02165,2.165,Teoría,13
