observed,ci_low_2_5,ci_high_97_5,bootstrap_sd,B,n_clusters,n_articles,window,area,elapsed_seconds
0.05228758169934641,0.035376803411943165,0.07099509301341003,0.009168543829106729,500,66,5288,2001-2005,Bases de datos,0.03
0.0,0.0,0.0,0.0,500,1,43,2001-2005,Bioinformática,0.01
0.013195098963242224,0.0069668209475271725,0.020467519881346527,0.003583544902052215,500,50,4961,2001-2005,HCI,0.03
0.0848290194596637,0.06980103854221735,0.09903350905555315,0.007433209346506444,500,106,24140,2001-2005,IA / ML,0.07
0.055177111716621256,0.040615689865689864,0.0720001443161348,0.008027890813070874,500,87,3898,2001-2005,Ing. del Software,0.03
0.02097902097902098,0.010464766661984691,0.03349388379204892,0.005773115895822752,500,27,2042,2001-2005,Redes,0.02
0.004395604395604396,0.0,0.01111692775725489,0.0030997942219668775,500,59,1694,2001-2005,Seguridad,0.04
0.10038610038610038,0.08582014030685266,0.11656075581269419,0.007983876939905599,500,112,9648,2001-2005,Sistemas,0.04
0.058337919647771054,0.04434685313425847,0.07223145874440108,0.007118016560705647,500,72,4524,2001-2005,Teoría,0.03
0.09076863653920432,0.07613798927344251,0.10617892799661433,0.007797624772231352,500,71,8749,2006-2010,Bases de datos,0.04
0.0,0.0,0.0,0.0,500,1,50,2006-2010,Bioinformática,0.01
0.03388035997882478,0.023376795900024533,0.04733518549465239,0.006133347230153273,500,66,7433,2006-2010,HCI,0.04
0.08923884514435695,0.08004513267087411,0.09758476476428626,0.004515368116780468,500,120,32728,2006-2010,IA / ML,0.1
0.06064356435643564,0.049435240156367286,0.07157778359511344,0.0057037352455818376,500,121,5611,2006-2010,Ing. del Software,0.04
0.061027837259100645,0.04701693811770231,0.07783331058951963,0.007905335074006882,500,36,3533,2006-2010,Redes,0.03
0.03836317135549872,0.022759291270527227,0.056648279994360624,0.008482114704750354,500,67,2241,2006-2010,Seguridad,0.03
0.09586056644880174,0.0806718912345026,0.11341512938150045,0.008559009230915154,500,122,10542,2006-2010,Sistemas,0.05
0.04413702239789196,0.0306895320611973,0.05946290710213812,0.007593971714808367,500,75,4201,2006-2010,Teoría,0.03
0.10912220309810672,0.09136310741944545,0.12645395753488248,0.008980280455930542,500,73,9828,2011-2015,Bases de datos,0.05
0.04190999656475438,0.03267795323217894,0.055687777715544604,0.00600217454900395,500,69,9731,2011-2015,HCI,0.04
0.07772556390977443,0.07005761877407092,0.08524086346831236,0.0038891091863892404,500,134,38985,2011-2015,IA / ML,0.11
0.06906077348066299,0.05803461741854127,0.08241554619621458,0.006309198406543653,500,125,6987,2011-2015,Ing. del Software,0.04
0.093,0.06681823780204851,0.12328644041969607,0.014939238629312632,500,40,4130,2011-2015,Redes,0.03
0.0538860103626943,0.03566392890352882,0.07318281987306924,0.009320150964910946,500,63,2808,2011-2015,Seguridad,0.03
0.08373590982286634,0.07103655886902314,0.09973346737056772,0.0076473073567903315,500,130,9312,2011-2015,Sistemas,0.05
0.03294475418144957,0.022207214713595342,0.0432517417900242,0.005512148549603539,500,80,4809,2011-2015,Teoría,0.04
0.05105811219348337,0.03936100802352401,0.06313880771478668,0.005889681053289987,500,71,12253,2016-2020,Bases de datos,0.04
0.020054694621695533,0.01372320782797374,0.02835494236768188,0.0038644461692057858,500,71,11424,2016-2020,HCI,0.05
0.051522557632604535,0.04491997680877284,0.060048978914162374,0.0039535452582342995,500,140,64697,2016-2020,IA / ML,0.19
0.06483983018139715,0.05219475927313601,0.07781115136536822,0.006698123308088297,500,110,6202,2016-2020,Ing. del Software,0.04
0.0947136563876652,0.06840255102664759,0.12274290694597917,0.013844080131642029,500,40,3689,2016-2020,Redes,0.03
0.04945054945054945,0.03581475441051071,0.06174180327868853,0.006627800238234,500,53,3498,2016-2020,Seguridad,0.03
0.06677018633540373,0.05619560294479793,0.0783520897943155,0.005469609141582106,500,128,10366,2016-2020,Sistemas,0.05
0.021569356638155446,0.015745588196330915,0.02856611161529127,0.003125117995005434,500,88,6588,2016-2020,Teoría,0.04
0.043454345434543455,0.03515825905325795,0.053071968073709015,0.004797464665985631,500,67,17458,2021-2025,Bases de datos,0.06
0.026513122656668452,0.020824741568078207,0.03435872362831251,0.003401306803025635,500,62,12024,2021-2025,HCI,0.06
0.03877061892006203,0.03513239478061506,0.04338239401584759,0.002136922678740621,500,140,130955,2021-2025,IA / ML,0.33
0.056721915285451195,0.046598296301060056,0.06769511668302912,0.0055497873630800595,500,99,7189,2021-2025,Ing. del Software,0.04
0.14612326043737575,0.10304607821123415,0.18841097055128625,0.0208999123261106,500,40,4303,2021-2025,Redes,0.03
0.04498714652956298,0.03506295494786543,0.05558316851940257,0.0052273922027201904,500,51,6475,2021-2025,Seguridad,0.05
0.0681497175141243,0.0550093320065173,0.08272526256212406,0.007014530307525323,500,129,11873,2021-2025,Sistemas,0.1
0.02165045497332915,0.01569170206252631,0.02862966759268129,0.0032662486635515117,500,88,8234,2021-2025,Teoría,0.06
