window,country_code,count,eu_den,share,rank,coverage_threshold
2001-2005,SI,57,12452,0.00457757789913267,18,0.7
2001-2005,FI,292,12452,0.023450048185030516,10,0.7
2001-2005,FR,2317,12452,0.18607452618053325,3,0.7
2001-2005,PL,145,12452,0.011644715708319948,16,0.7
2001-2005,BE,411,12452,0.033006745904272404,8,0.7
2001-2005,BG,20,12452,0.0016061676839061998,22,0.7
2001-2005,ES,856,12452,0.06874397687118536,6,0.7
2001-2005,DK,238,12452,0.01911339543848378,12,0.7
2001-2005,AT,277,12452,0.02224542242210087,11,0.7
2001-2005,GR,315,12452,0.025297141021522647,9,0.7
2001-2005,PT,191,12452,0.015338901381304209,13,0.7
2001-2005,HR,9,12452,0.0007227754577577899,26,0.7
2001-2005,GB,2482,12452,0.1993254095727594,2,0.7
2001-2005,EE,14,12452,0.0011243173787343398,23,0.7
2001-2005,LV,11,12452,0.0008833922261484099,25,0.7
2001-2005,CY,23,12452,0.0018470928364921297,21,0.7
2001-2005,IT,1401,12452,0.1125120462576293,4,0.7
2001-2005,HU,121,12452,0.009717314487632508,17,0.7
2001-2005,IE,185,12452,0.014857051076132348,14,0.7
2001-2005,NL,940,12452,0.0754898811435914,5,0.7
2001-2005,DE,2747,12452,0.22060713138451654,1,0.7
2001-2005,CZ,152,12452,0.012206874397687119,15,0.7
2001-2005,LU,12,12452,0.0009637006103437199,24,0.7
2001-2005,MT,1,12452,8.030838419531e-05,28,0.7
2001-2005,SK,28,12452,0.0022486347574686796,19,0.7
2001-2005,SE,547,12452,0.04392868615483456,7,0.7
2001-2005,RO,27,12452,0.0021683263732733696,20,0.7
2001-2005,LT,4,12452,0.00032123353678124,27,0.7
2006-2010,SI,51,19748,0.0025825400040510433,20,0.7
2006-2010,FI,465,19748,0.0235466882722301,11,0.7
2006-2010,FR,3707,19748,0.18771521166700425,3,0.7
2006-2010,PL,193,19748,0.009773141583957869,16,0.7
2006-2010,BE,662,19748,0.03352238201336844,8,0.7
2006-2010,BG,10,19748,0.0005063803929511849,25,0.7
2006-2010,ES,1486,19748,0.07524812639254608,5,0.7
2006-2010,DK,404,19748,0.02045776787522787,12,0.7
2006-2010,AT,599,19748,0.030332185537775978,9,0.7
2006-2010,GR,509,19748,0.025774762001215312,10,0.7
2006-2010,PT,358,19748,0.018128418067652422,13,0.7
2006-2010,HR,17,19748,0.0008608466680170144,24,0.7
2006-2010,GB,4265,19748,0.21597123759368037,2,0.7
2006-2010,EE,30,19748,0.0015191411788535547,22,0.7
2006-2010,LV,6,19748,0.00030382823577071097,27,0.7
2006-2010,CY,35,19748,0.0017723313753291474,21,0.7
2006-2010,IT,1982,19748,0.10036459388292485,4,0.7
2006-2010,HU,148,19748,0.007494429815677537,17,0.7
2006-2010,IE,346,19748,0.017520761596111,14,0.7
2006-2010,NL,1408,19748,0.07129835932752684,6,0.7
2006-2010,DE,4847,19748,0.24544257646343934,1,0.7
2006-2010,CZ,213,19748,0.01078590236986024,15,0.7
2006-2010,LU,58,19748,0.0029370062791168727,18,0.7
2006-2010,MT,7,19748,0.00035446627506582944,26,0.7
2006-2010,SK,24,19748,0.0012153129430828439,23,0.7
2006-2010,SE,670,19748,0.03392748632772939,7,0.7
2006-2010,RO,57,19748,0.0028863682398217543,19,0.7
2006-2010,LT,3,19748,0.00015191411788535549,28,0.7
2011-2015,SI,64,23996,0.002667111185197533,21,0.7
2011-2015,FI,487,23996,0.020295049174862478,13,0.7
2011-2015,FR,4160,23996,0.17336222703783963,3,0.7
2011-2015,PL,259,23996,0.010793465577596266,16,0.7
2011-2015,BE,809,23996,0.03371395232538756,9,0.7
2011-2015,BG,14,23996,0.0005834305717619603,26,0.7
2011-2015,ES,1765,23996,0.07355392565427571,5,0.7
2011-2015,DK,593,23996,0.024712452075345892,11,0.7
2011-2015,AT,1051,23996,0.04379896649441574,7,0.7
2011-2015,GR,634,23996,0.026421070178363062,10,0.7
2011-2015,PT,527,23996,0.021961993665610934,12,0.7
2011-2015,HR,31,23996,0.001291881980330055,24,0.7
2011-2015,GB,5367,23996,0.22366227704617436,2,0.7
2011-2015,EE,68,23996,0.0028338056342723785,20,0.7
2011-2015,LV,19,23996,0.0007917986331055176,25,0.7
2011-2015,CY,50,23996,0.0020836806134355724,22,0.7
2011-2015,IT,2458,23996,0.10243373895649274,4,0.7
2011-2015,HU,151,23996,0.006292715452575429,17,0.7
2011-2015,IE,419,23996,0.0174612435405901,14,0.7
2011-2015,NL,1586,23996,0.06609434905817636,6,0.7
2011-2015,DE,6430,23996,0.26796132688781465,1,0.7
2011-2015,CZ,330,23996,0.013752292048674779,15,0.7
2011-2015,LU,136,23996,0.005667611268544757,18,0.7
2011-2015,MT,9,23996,0.0003750625104184031,27,0.7
2011-2015,SK,36,23996,0.0015002500416736123,23,0.7
2011-2015,SE,939,23996,0.03913152192032005,8,0.7
2011-2015,RO,90,23996,0.003750625104184031,19,0.7
2011-2015,LT,3,23996,0.00012502083680613436,28,0.7
2016-2020,SI,89,28513,0.003121383228702697,20,0.7
2016-2020,FI,732,28513,0.025672500263037912,11,0.7
2016-2020,FR,4162,28513,0.14596850559393962,3,0.7
2016-2020,PL,507,28513,0.017781362887104128,15,0.7
2016-2020,BE,854,28513,0.029951250306877564,10,0.7
2016-2020,BG,19,28513,0.0006663627117455196,25,0.7
2016-2020,ES,1454,28513,0.05099428330936766,6,0.7
2016-2020,DK,943,28513,0.033072633535580265,9,0.7
2016-2020,AT,1380,28513,0.04839897590572721,7,0.7
2016-2020,GR,561,28513,0.019675235857328235,12,0.7
2016-2020,PT,527,28513,0.018482797320520463,14,0.7
2016-2020,HR,29,28513,0.0010170799284536878,24,0.7
2016-2020,GB,7987,28513,0.28011784098481396,1,0.7
2016-2020,EE,81,28513,0.0028408094553361626,21,0.7
2016-2020,LV,8,28513,0.00028057377336653455,27,0.7
2016-2020,CY,72,28513,0.002525163960298811,22,0.7
2016-2020,IT,2658,28513,0.0932206362010311,4,0.7
2016-2020,HU,130,28513,0.004559323817206187,18,0.7
2016-2020,IE,420,28513,0.014730123101743065,16,0.7
2016-2020,NL,2213,28513,0.07761372005751763,5,0.7
2016-2020,DE,7618,28513,0.26717637568828256,2,0.7
2016-2020,CZ,559,28513,0.019605092413986603,13,0.7
2016-2020,LU,213,28513,0.007470276715883983,17,0.7
2016-2020,MT,14,28513,0.0004910041033914355,26,0.7
2016-2020,SK,65,28513,0.0022796619086030935,23,0.7
2016-2020,SE,1252,28513,0.04390979553186266,8,0.7
2016-2020,RO,113,28513,0.003963104548802301,19,0.7
2016-2020,LT,5,28513,0.0001753586083540841,28,0.7
2021-2025,SI,113,44225,0.0025551158846806106,21,0.7
2021-2025,FI,1004,44225,0.02270209157716224,12,0.7
2021-2025,FR,5899,44225,0.13338609383832672,3,0.7
2021-2025,PL,1111,44225,0.025121537591859807,11,0.7
2021-2025,BE,1173,44225,0.026523459581684568,10,0.7
2021-2025,BG,92,44225,0.002080271339739966,23,0.7
2021-2025,ES,1880,44225,0.042509892594686266,8,0.7
2021-2025,DK,1591,44225,0.03597512719050311,9,0.7
2021-2025,AT,2149,44225,0.048592425098925945,6,0.7
2021-2025,GR,624,44225,0.014109666478236292,14,0.7
2021-2025,PT,586,44225,0.013250423968343698,15,0.7
2021-2025,HR,49,44225,0.0011079706048615038,25,0.7
2021-2025,GB,13713,44225,0.31007348784624084,1,0.7
2021-2025,EE,121,44225,0.002736009044657999,20,0.7
2021-2025,LV,10,44225,0.00022611644997173544,26,0.7
2021-2025,CY,91,44225,0.0020576596947427927,24,0.7
2021-2025,IT,3887,44225,0.08789146410401356,4,0.7
2021-2025,HU,160,44225,0.003617863199547767,18,0.7
2021-2025,IE,501,44225,0.011328434143583945,16,0.7
2021-2025,NL,3622,44225,0.08189937817976257,5,0.7
2021-2025,DE,12276,44225,0.27758055398530246,2,0.7
2021-2025,CZ,738,44225,0.016687394007914077,13,0.7
2021-2025,LU,313,44225,0.00707744488411532,17,0.7
2021-2025,MT,8,44225,0.00018089315997738836,28,0.7
2021-2025,SK,99,44225,0.002238552854720181,22,0.7
2021-2025,SE,2055,44225,0.046466930469191634,7,0.7
2021-2025,RO,128,44225,0.0028942905596382137,19,0.7
2021-2025,LT,9,44225,0.0002035048049745619,27,0.7
